id,common_code,product_name,current_stock,initial_stock,minimum_stock,reorder_point,price,content,jan_code,reference_date,created_at,last_updated
46,S01,ふわふわスモークサーモン,119,0,11,20,,,,,2025-08-20T10:06:53.81441+00:00,2025-08-20T10:06:53.464119+00:00
52,P01,ポテトフレーク,107,0,10,20,,,,,2025-08-20T10:06:55.371753+00:00,2025-08-20T10:06:55.0796+00:00
58,CAN01,犬缶,16,0,1,20,,,,,2025-08-20T10:06:56.564217+00:00,2025-08-20T10:06:56.26738+00:00
59,CAN02,猫缶,58,0,5,20,,,,,2025-08-20T10:06:56.789878+00:00,2025-08-20T10:06:56.497244+00:00
60,SB01,SALT　BUBBLE,7,0,1,20,,,,,2025-08-20T10:06:57.111846+00:00,2025-08-20T10:06:56.815845+00:00
61,HC01,エゾディアハンドクリーム,32,0,3,20,,,,,2025-08-20T10:06:57.279358+00:00,2025-08-20T10:06:56.991651+00:00
62,PC01,エゾディア肉球クリーム,29,0,2,20,,,,,2025-08-20T10:06:57.453133+00:00,2025-08-20T10:06:57.164874+00:00
63,KE01,SIZUKA濃縮クマザサエキス,3,0,1,20,,,,,2025-08-20T10:06:57.629669+00:00,2025-08-20T10:06:57.331919+00:00
64,WB01,ミニチュア木箱（エゾ鹿）,27,0,2,20,,,,,2025-08-20T10:06:57.802354+00:00,2025-08-20T10:06:57.516113+00:00
65,WB02,ミニチュア木箱（サーモン）,50,0,5,20,,,,,2025-08-20T10:06:57.999253+00:00,2025-08-20T10:06:57.698031+00:00
66,BAG01,トートバッグ（リボン付き）,9,0,1,20,,,,,2025-08-20T10:06:58.18891+00:00,2025-08-20T10:06:57.899714+00:00
83,CM024,鶏ささみスライスジャーキー,557,0,1,20,,,,,2025-08-20T10:16:29.389654+00:00,2025-08-20T10:18:10.143618+00:00
98,CM037,ころころ馬肉ミンチ,97,0,2,20,,,,,2025-08-20T10:16:51.300962+00:00,2025-08-20T10:18:10.801531+00:00
90,CM022,フレークサーモン,328,0,5,20,,,,,2025-08-20T10:16:41.528527+00:00,2025-08-20T10:18:10.378595+00:00
88,CM123,サーモンハラス,97,0,2,20,,,,,2025-08-20T10:16:32.547422+00:00,2025-08-20T10:17:37.644415+00:00
87,CM057,カンガルーバーグ,25,0,2,20,,,,,2025-08-20T10:16:32.308864+00:00,2025-08-20T10:16:32.024068+00:00
39,PC001,,241,0,10,20,,,,,2025-08-03T13:10:40.42364+00:00,2025-08-20T10:18:09.944444+00:00
95,CM055,馬うまバーグ,101,0,2,20,,,,,2025-08-20T10:16:48.843216+00:00,2025-08-20T10:17:53.970014+00:00
80,CM014,エゾ鹿アキレス（ショート）,14,0,1,20,,,,,2025-08-20T10:16:26.301668+00:00,2025-08-20T10:16:26.004283+00:00
93,J04,たらカットジャーキー,1,0,1,20,,,,,2025-08-20T10:16:44.782205+00:00,2025-08-20T10:16:44.494703+00:00
77,CM073,チキンチップ,279,0,1,20,,,,,2025-08-20T10:16:25.084364+00:00,2025-08-20T10:18:13.068293+00:00
57,J05,ほっけカットジャーキー,131,0,1,20,,,,,2025-08-20T10:06:56.407204+00:00,2025-08-20T10:17:27.394706+00:00
81,CM104,豚レバースライスジャーキー,165,0,1,20,,,,,2025-08-20T10:16:27.337285+00:00,2025-08-20T10:18:12.840927+00:00
37,CM016,,100,0,10,20,,,,,2025-08-03T13:10:40.059232+00:00,2025-08-03T13:10:40.059232+00:00
38,CM025,,70,0,10,20,,,,,2025-08-03T13:10:40.275355+00:00,2025-08-03T13:10:40.275355+00:00
40,CM039,,30,0,10,20,,,,,2025-08-03T13:10:40.591806+00:00,2025-08-03T13:10:40.591806+00:00
41,CM019,,50,0,10,20,,,,,2025-08-03T13:10:40.828822+00:00,2025-08-03T13:10:40.828822+00:00
42,CM122,,26,0,10,20,,,,,2025-08-03T13:10:40.972697+00:00,2025-08-03T13:10:40.972697+00:00
43,CM076,,1,0,10,20,,,,,2025-08-03T13:10:41.204824+00:00,2025-08-03T13:10:41.204824+00:00
75,CM071,サーモンフレーク,287,0,2,20,,,,,2025-08-20T10:16:24.038853+00:00,2025-08-20T10:17:55.713972+00:00
44,CM066,,3,0,10,20,,,,,2025-08-03T13:10:41.345868+00:00,2025-08-03T13:10:41.345868+00:00
82,CM020,スライスサーモン,429,0,5,20,,,,,2025-08-20T10:16:28.303802+00:00,2025-08-20T10:18:07.521967+00:00
69,CM075,クマザサ鹿ふりかけ,28,0,1,20,,,,,2025-08-20T10:16:19.017712+00:00,2025-08-20T10:17:57.69247+00:00
68,CM003,エゾ鹿ミンチジャーキー,289,0,7,20,,,,,2025-08-20T10:16:18.74105+00:00,2025-08-20T10:18:13.463138+00:00
55,J02,ラムカットジャーキー,139,0,2,20,,,,,2025-08-20T10:06:56.03628+00:00,2025-08-20T10:18:02.944871+00:00
73,CM091,ひとくちサーモン,1598,0,10,20,,,,,2025-08-20T10:16:22.537695+00:00,2025-08-20T10:18:09.813006+00:00
56,J03,鮭カットジャーキー,162,0,4,20,,,,,2025-08-20T10:06:56.226342+00:00,2025-08-20T10:17:22.322786+00:00
78,CM097,エゾ鹿レバースライスジャーキー,128,0,2,20,,,,,2025-08-20T10:16:25.809089+00:00,2025-08-20T10:18:01.444185+00:00
100,CM074,チキンフレーク,78,0,2,20,,,,,2025-08-20T10:16:56.326781+00:00,2025-08-20T10:17:38.217572+00:00
50,C02,にんじんフレーク,156,0,5,20,,,,,2025-08-20T10:06:54.984098+00:00,2025-08-20T10:17:06.38796+00:00
84,CM096,エゾ鹿スライスジャーキー,912,0,1,20,,,,,2025-08-20T10:16:30.103696+00:00,2025-08-20T10:18:08.335454+00:00
49,K01,かぼちゃフレーク,158,0,5,20,,,,,2025-08-20T10:06:54.768509+00:00,2025-08-20T10:16:36.356682+00:00
105,CM015,エゾ鹿アキレス（ロング）,57,0,5,20,,,,,2025-08-20T10:18:08.033532+00:00,2025-08-20T10:18:07.742845+00:00
70,CM048,エゾ鹿ステーキ,100,0,2,20,,,,,2025-08-20T10:16:20.23588+00:00,2025-08-20T10:17:36.984775+00:00
67,CM109,鶏砂肝ジャーキー,270,0,5,20,,,,,2025-08-20T10:16:18.479471+00:00,2025-08-20T10:18:05.223061+00:00
94,CM046,カンガルーチップ,30,0,3,20,,,,,2025-08-20T10:16:46.511437+00:00,2025-08-20T10:16:46.223609+00:00
104,CM131,エゾ鹿スペアリブ,29,0,1,20,,,,,2025-08-20T10:17:52.030578+00:00,2025-08-20T10:18:01.662879+00:00
96,CM056,牛バーグ,93,0,2,20,,,,,2025-08-20T10:16:49.059978+00:00,2025-08-20T10:17:53.723624+00:00
72,CM106,鮭白子スライスジャーキー,506,0,5,20,,,,,2025-08-20T10:16:21.5785+00:00,2025-08-20T10:18:11.698802+00:00
51,B01,ビーツフレーク,296,0,9,20,,,,,2025-08-20T10:06:55.194997+00:00,2025-08-20T10:17:43.796934+00:00
48,C01,コーンフレーク,160,0,6,20,,,,,2025-08-20T10:06:54.534719+00:00,2025-08-20T10:17:02.755724+00:00
47,S02,スモークサーモンチップ,603,0,12,20,,,,,2025-08-20T10:06:54.205396+00:00,2025-08-20T10:17:58.779652+00:00
103,CM054,ほたて,50,0,2,20,,,,,2025-08-20T10:17:46.214304+00:00,2025-08-20T10:18:01.898525+00:00
92,CM049,エゾ鹿バーグ,101,0,2,20,,,,,2025-08-20T10:16:43.249616+00:00,2025-08-20T10:17:37.350457+00:00
53,CK01,ころころクッキー,239,0,3,20,,,,,2025-08-20T10:06:55.564561+00:00,2025-08-20T10:18:11.878423+00:00
102,CM045,カンガルースライスジャーキー,110,0,1,20,,,,,2025-08-20T10:17:08.966784+00:00,2025-08-20T10:17:32.540104+00:00
76,CM068,エゾ鹿チップ,262,0,1,20,,,,,2025-08-20T10:16:24.878722+00:00,2025-08-20T10:18:11.046433+00:00
71,CM052,鮭白子,103,0,2,20,,,,,2025-08-20T10:16:20.786232+00:00,2025-08-20T10:17:46.187421+00:00
86,CM133,豚耳スライスジャーキー,362,0,5,20,,,,,2025-08-20T10:16:31.304691+00:00,2025-08-20T10:18:12.609403+00:00
85,CM005,エゾ鹿ふりかけ,130,0,1,20,,,,,2025-08-20T10:16:30.327254+00:00,2025-08-20T10:18:08.913265+00:00
54,J01,エゾ鹿カットジャーキー,219,0,1,20,,,,,2025-08-20T10:06:55.796442+00:00,2025-08-20T10:18:11.239676+00:00
101,CM069,エゾ鹿フレーク,125,0,1,20,,,,,2025-08-20T10:17:01.019676+00:00,2025-08-20T10:17:44.453223+00:00
97,CM137,白子チップ,170,0,5,20,,,,,2025-08-20T10:16:50.605889+00:00,2025-08-20T10:17:59.520791+00:00
89,CM112,エゾ鹿骨,133,0,2,20,,,,,2025-08-20T10:16:35.158929+00:00,2025-08-20T10:17:44.658068+00:00
74,CM026,豚ハツスライスジャーキー,153,0,1,20,,,,,2025-08-20T10:16:22.771196+00:00,2025-08-20T10:18:12.103109+00:00
99,CM110,馬スライスジャーキー,168,0,3,20,,,,,2025-08-20T10:16:51.525017+00:00,2025-08-20T10:18:08.705773+00:00
91,CM050,エゾ鹿角切りレバー,74,0,2,20,,,,,2025-08-20T10:16:43.038128+00:00,2025-08-20T10:18:02.131931+00:00
79,CM098,スティックサーモン,487,0,3,20,,,,,2025-08-20T10:16:26.077876+00:00,2025-08-20T10:18:03.201305+00:00
