id,common_code,product_name,product_type,rakuten_sku,is_active,created_at,updated_at,sequence_number,jan_ean_code,colorme_id,smaregi_id,yahoo_product_id,amazon_asin,mercari_product_id,remarks
239,PC008,商品_PC008,単品,1780,True,2025-08-03T07:29:40.7109+00:00,2025-08-11T20:07:43.20983+00:00,,,,,,,,
240,PC026,商品_PC026,単品,1787,True,2025-08-03T07:29:40.813684+00:00,2025-08-11T20:07:43.298951+00:00,,,,,,,,
243,BC003,商品_BC003,単品,1794,True,2025-08-03T07:29:41.163328+00:00,2025-08-11T20:07:43.552386+00:00,,,,,,,,
249,BC010,商品_BC010,単品,1790,True,2025-08-03T07:29:41.894528+00:00,2025-08-11T20:07:44.062495+00:00,,,,,,,,
210,CM074,チキンフレーク 20g（猫）,単品,1745,True,2025-08-03T07:29:37.335054+00:00,2025-08-12T03:46:21.735836+00:00,74.0,4573265581462,108736266,10046,1745,B0B3N8F8SJ,SPQFHr28uH3a4NiuX2MruH,
212,CM076,クマザサ鮭ふりかけ 30g（猫）,単品,1750,True,2025-08-03T07:29:37.545643+00:00,2025-08-12T03:46:21.987736+00:00,76.0,4573265581486,167415251,10010,1750,,,
214,CM078,クマザサ鶏ふりかけ30g（猫）,単品,1863,True,2025-08-03T07:29:37.808637+00:00,2025-08-12T03:46:22.296723+00:00,78.0,4573265581660,171023820,10065,1863,,,
216,CM080,エゾディアハンドクリーム [人用] 20g,単品,1831,True,2025-08-03T07:29:38.021421+00:00,2025-08-12T03:46:22.585448+00:00,80.0,4573265586054,165361634,10111,1831,,,
218,CM082,秋鮭荒ほぐし（数量限定）,単品,1867,True,2025-08-03T07:29:38.222421+00:00,2025-08-12T03:46:22.951766+00:00,82.0,4932816716591,172229036,,1867,,,
332,CM084,"sizukaのおやつ缶 ""シズ缶""（犬猫）",単品,,True,2025-08-03T13:02:46.499251+00:00,2025-08-12T03:46:23.317553+00:00,84.0,1000001,138499392,10108,,,,
220,CM085,"sizukaのおやつ缶 ""シズ缶""（犬）",単品,1782,True,2025-08-03T07:29:38.447613+00:00,2025-08-12T03:46:23.4686+00:00,85.0,4573265586016,134646079,10108,1782,,,
222,CM087,犬猫のおやつsizukaオリジナルトートバッグ,単品,1820,True,2025-08-03T07:29:38.667263+00:00,2025-08-12T03:46:23.708798+00:00,87.0,4573265586115,,10117,1820,,,
335,CM088,ちび袋 ころころエゾ鹿ミンチ 10g,単品,,True,2025-08-03T13:02:46.967415+00:00,2025-08-12T03:46:23.816257+00:00,88.0,4573265581691,167439431,10082,,,,
336,CM089,ちび袋 ころころクッキー（8粒）,単品,,True,2025-08-03T13:02:47.090157+00:00,2025-08-12T03:46:24.125675+00:00,89.0,4573265581868,167440131,10099,,,,
337,CM090,ちび袋 たらカットジャーキー 15g,単品,,True,2025-08-03T13:02:47.323087+00:00,2025-08-12T03:46:24.236635+00:00,90.0,4573265581905,167440411,10103,,,,
338,CM091,ちび袋 ひとくちサーモン 10g,単品,,True,2025-08-03T13:02:47.469859+00:00,2025-08-12T03:46:24.36863+00:00,91.0,4573265581745,167439632,10087,,,,
501,PC001,商品_PC001,単品,1851,True,2025-08-05T06:03:33.275565+00:00,2025-08-11T20:07:42.862165+00:00,,,,,,,,
499,PC001,商品_PC001,単品,1852,True,2025-08-05T06:03:32.912471+00:00,2025-08-11T20:07:44.229931+00:00,,,,,,,,
506,PC001,商品_PC001,単品,1853,True,2025-08-05T06:29:12.108007+00:00,2025-08-11T20:07:44.30796+00:00,,,,,,,,
507,PC001,商品_PC001,単品,1854,True,2025-08-05T06:29:12.260826+00:00,2025-08-11T20:07:44.388432+00:00,,,,,,,,
508,PC001,商品_PC001,単品,1855,True,2025-08-05T06:29:12.395594+00:00,2025-08-11T20:07:44.469062+00:00,,,,,,,,
509,PC001,商品_PC001,単品,1856,True,2025-08-05T06:29:12.540579+00:00,2025-08-11T20:07:44.563405+00:00,,,,,,,,
510,PC001,商品_PC001,単品,1859,True,2025-08-05T06:29:12.937936+00:00,2025-08-11T20:07:44.845211+00:00,,,,,,,,
511,PC001,商品_PC001,単品,1860,True,2025-08-05T06:29:13.068893+00:00,2025-08-11T20:07:44.93524+00:00,,,,,,,,
500,PC001,商品_PC001,単品,1825,True,2025-08-05T06:03:33.101792+00:00,2025-08-11T20:07:45.118578+00:00,,,,,,,,
498,PC001,商品_PC001,単品,1837,True,2025-08-05T06:03:32.742444+00:00,2025-08-11T20:07:45.210708+00:00,,,,,,,,
512,PC001,商品_PC001,単品,1875,True,2025-08-05T06:29:13.569977+00:00,2025-08-11T20:07:45.299872+00:00,,,,,,,,
513,PC001,商品_PC001,単品,1876,True,2025-08-05T06:29:13.703761+00:00,2025-08-11T20:07:45.395718+00:00,,,,,,,,
339,CM092,ちび袋 ふわふわスモークサーモン 5g,単品,,True,2025-08-03T13:02:47.603071+00:00,2025-08-12T03:46:24.476123+00:00,92.0,4573265581844,167439932,10097,,,,
340,CM093,ちび袋 ほっけカットジャーキー 15g,単品,,True,2025-08-03T13:02:47.71632+00:00,2025-08-12T03:46:24.618398+00:00,93.0,4573265581912,167440916,10104,,,,
341,CM094,ちび袋 エゾ鹿ふりかけ 10g,単品,,True,2025-08-03T13:02:47.931736+00:00,2025-08-12T03:46:24.751876+00:00,94.0,4573265581707,167439456,10083,,,,
342,CM095,ちび袋 エゾ鹿カットジャーキー 15g,単品,,True,2025-08-03T13:02:48.041831+00:00,2025-08-12T03:46:24.884878+00:00,95.0,4573265581875,167440156,10100,,,,
343,CM096,ちび袋 エゾ鹿スライスジャーキー 10g,単品,,True,2025-08-03T13:02:48.133255+00:00,2025-08-12T03:46:25.001892+00:00,96.0,4573265581684,167439411,10081,,,,
344,CM097,ちび袋 エゾ鹿レバースライスジャーキー 10g,単品,,True,2025-08-03T13:02:48.270853+00:00,2025-08-12T03:46:25.135331+00:00,97.0,4573265581714,167439467,10084,,,,
345,CM098,ちび袋 スティックサーモン 10g,単品,,True,2025-08-03T13:02:48.371187+00:00,2025-08-12T03:46:25.351941+00:00,98.0,4573265581738,167439544,10086,,,,
346,CM099,ちび袋 スモークサーモンチップ 10g,単品,,True,2025-08-03T13:02:48.484651+00:00,2025-08-12T03:46:25.485049+00:00,99.0,4573265581851,167440029,10098,,,,
347,CM100,ちび袋 スライスサーモン 10g,単品,,True,2025-08-03T13:02:48.602362+00:00,2025-08-12T03:46:25.585179+00:00,100.0,4573265581721,167439492,10085,,,,
29,CM103,ちび袋 豚ハツスライスジャーキー 10g,単品,,True,2025-08-03T06:29:24.881435+00:00,2025-08-12T03:46:25.952112+00:00,103.0,4573265581806,167439773,10093,,,,
358,CM111,ちび袋 カンガルースライスジャーキー 10g,単品,,True,2025-08-03T13:02:49.842949+00:00,2025-08-12T03:46:27.135308+00:00,111.0,4573265581837,,10096,,,,
365,CM118,ミニチュア木箱（サーモン）,単品,,True,2025-08-03T13:02:50.890596+00:00,2025-08-12T03:46:27.984289+00:00,118.0,1000013,,10116,,,,
224,CM124,【激レア！数量限定】仔牛のスペアリブ（小さめ） 30g,単品,1826,True,2025-08-03T07:29:38.880116+00:00,2025-08-12T03:46:28.811061+00:00,124.0,,,,,,,限定
226,CM126,【激レア！数量限定】牛ラング 20g,単品,1828,True,2025-08-03T07:29:39.114349+00:00,2025-08-12T03:46:29.062197+00:00,126.0,,178475580,,,,,限定
228,CM128,【激レア！期間限定】ひとくちサーモン（骨多め）（賞味期限2024/8/20） 30g,単品,1836,True,2025-08-03T07:29:39.358318+00:00,2025-08-12T03:46:29.272096+00:00,128.0,,,,,,,限定
230,CM130,【激レア！数量限定】エゾ鹿スペアリブ （小さめ）30g,単品,1869,True,2025-08-03T07:29:39.591653+00:00,2025-08-12T03:46:29.521669+00:00,130.0,,,,,,,限定
232,CM132,【激レア！数量限定】牛鬼筋（細め） 30g 約7~10本,単品,1873,True,2025-08-03T07:29:39.826456+00:00,2025-08-12T03:46:29.805978+00:00,132.0,,,,,,,限定
233,CM133,【激レア！数量限定】豚耳スライスジャーキー（黒め） 30g,単品,1874,True,2025-08-03T07:29:39.946891+00:00,2025-08-12T03:46:29.928769+00:00,133.0,,,,,,,限定
514,CM135,【激レア！数量限定】今季初モノ！[北海道産] 極上真っ赤なひとくちサーモン 30g,単品,,True,2025-08-11T20:42:58.315498+00:00,2025-08-12T03:46:30.206576+00:00,135.0,,182367437,,,,,限定
515,CM136,【激レア！数量限定】極上フレークサーモン 30g,単品,,True,2025-08-11T20:42:58.413942+00:00,2025-08-12T03:46:30.338072+00:00,136.0,,134653568,,,,,限定
236,CM138,【激レア！数量限定】サーモンハラスロング（細め）30g,単品,1829,True,2025-08-03T07:29:40.315944+00:00,2025-08-12T03:46:30.56781+00:00,138.0,,,,,,,限定
516,CM139,sizuka オリジナルジュートバッグ,単品,,True,2025-08-11T20:42:58.6983+00:00,2025-08-12T03:46:30.687862+00:00,139.0,,137945198,,,,,
517,CM140,sizuka オリジナルポケットボトル,単品,,True,2025-08-11T20:42:58.800825+00:00,2025-08-12T03:46:30.790015+00:00,140.0,,155991596,,,,,
518,CM141,sizukaオリジナル風呂敷 （ふろしき）（エレメント）,単品,,True,2025-08-11T20:42:58.888451+00:00,2025-08-12T03:46:30.920802+00:00,141.0,,165361544,,,,,
138,CM001,エゾ鹿スライスジャーキー 30g,単品,1701,True,2025-08-03T07:29:28.478854+00:00,2025-08-12T03:46:11.184318+00:00,1.0,4573265581011,71898726,10001,1701,B0B2R5V8BG,5LCeqpCPZVPB8jNcfXyRF4,
139,CM002,エゾ鹿カットジャーキー 70g,単品,1702,True,2025-08-03T07:29:28.72498+00:00,2025-08-12T03:46:12.019345+00:00,2.0,4573265584272,71907306,10075,1702,B0B3N9YFV8,o2oMgdV3ieTSAfcLkQpZnN,
140,CM003,エゾ鹿ミンチジャーキー 30g,単品,1703,True,2025-08-03T07:29:28.930952+00:00,2025-08-12T03:46:12.187009+00:00,3.0,4573265581028,87244917,10002,1703,B0B3M7QQ9J,y2xaaxHbL4zTiQu9Hwj8Wa,
208,CM072,白子チップ 10g（猫）,単品,1743,True,2025-08-03T07:29:37.101166+00:00,2025-08-12T03:46:21.491785+00:00,72.0,4573265581431,108735279,10043,1743,B0B3N8LXXT,9kWwEmm44yi3oTGwS5u7HT,
143,CM006,エゾ鹿スペアリブ 30g,単品,1850,True,2025-08-03T07:29:29.421509+00:00,2025-08-12T03:46:12.669197+00:00,6.0,4573265581271,87245376,10008,1850,,,
145,CM008,エゾ鹿角（S）（楽天）,単品,1730,True,2025-08-03T07:29:29.6807+00:00,2025-08-12T03:46:12.95285+00:00,8.0,4573265581127,,10012,,,,
148,CM011,エゾ鹿角（S・透明袋）,単品,1731,True,2025-08-03T07:29:30.097894+00:00,2025-08-12T03:46:13.351606+00:00,11.0,4573265581127,92069810,10012,,,,
150,CM013,エゾ鹿角（L・透明袋）,単品,1734,True,2025-08-03T07:29:30.4475+00:00,2025-08-12T03:46:13.602946+00:00,13.0,4573265581141,167434636,10014,,,,
152,CM016,ころころエゾ鹿ミンチ 30g,単品,1737,True,2025-08-03T07:29:30.729564+00:00,2025-08-12T03:46:14.002218+00:00,16.0,4573265581035,91588389,10003,1737,B0B3LL5VDJ,T5PAotqroeoaPmJ65kraPZ,
154,CM018,ひとくちサーモン 30g,単品,1713,True,2025-08-03T07:29:30.948788+00:00,2025-08-12T03:46:14.30277+00:00,18.0,4573265581172,87296515,10017,1713,B0B3LGD9RB,RgX85HCv6VkGDPuspaMrWk,
155,CM019,スティックサーモン 30g,単品,1714,True,2025-08-03T07:29:31.047362+00:00,2025-08-12T03:46:14.471954+00:00,19.0,4573265581165,71901291,10016,1714,B0B3LL3PL8,iNaHbjGdkZC2AtVNhwLdm3,
157,CM021,鮭白子スライス 30g,単品,1716,True,2025-08-03T07:29:31.282406+00:00,2025-08-12T03:46:14.780313+00:00,21.0,4573265581196,87297428,10019,1716,B0B3LLHHLN,cyrb4SiwMoJaNMRadGXUEc,
159,CM023,鶏の砂肝ジャーキー 30g,単品,1722,True,2025-08-03T07:29:31.544546+00:00,2025-08-12T03:46:15.052516+00:00,23.0,4573265581226,71904982,10022,1722,B0B3M25QKL,Kms72dmqMpbeCpCrXJcuoG,
161,CM025,鶏むねスライスジャーキー 30g,単品,1848,True,2025-08-03T07:29:31.771979+00:00,2025-08-12T03:46:15.436376+00:00,25.0,4573265581233,167434272,10023,1848,B0B3LWL5GG,tgQ8zGPt3MJjgBk3zicc7N,
163,CM027,豚レバースライスジャーキー 30g,単品,1726,True,2025-08-03T07:29:32.001416+00:00,2025-08-12T03:46:15.668603+00:00,27.0,4573265581257,87422122,10025,1726,B0B3LZXCWZ,LjmLuXY7qGp7dZCscLx8pS,
164,CM028,豚耳スライスジャーキー 30g,単品,1727,True,2025-08-03T07:29:32.115609+00:00,2025-08-12T03:46:15.786044+00:00,28.0,4573265581264,87422397,10026,1727,B0B3LTTY5L,Rzwmfb98fnVqJWdhyigAXf,
166,CM030,ひとくち牛タン皮 30g,単品,1761,True,2025-08-03T07:29:32.330976+00:00,2025-08-12T03:46:16.101889+00:00,30.0,4573265581318,117981672,10031,1761,B0B3N8184H,tDypDNpmjto5zYa2VG7H4Z,
168,CM032,仔牛のスペアリブ 30g,単品,1719,True,2025-08-03T07:29:32.563277+00:00,2025-08-12T03:46:16.352262+00:00,32.0,4573265581271,71905761,10027,1719,B0B3M6P7C3,F7ZZx9GzViXtVBySmD5bEF,
170,CM034,牛タン皮チップ 30g,単品,1781,True,2025-08-03T07:29:32.766802+00:00,2025-08-12T03:46:16.590951+00:00,34.0,4573265581332,143723316,10033,1781,B0B3N92ZXK,ZntY6mmXge2B9jSLrDx2NR,
173,CM037,ころころ馬肉ミンチ 30g,単品,1769,True,2025-08-03T07:29:33.083127+00:00,2025-08-12T03:46:16.937704+00:00,37.0,4573265581370,122871994,10037,1769,,,
175,CM039,ラムカットジャーキー 70g,単品,1724,True,2025-08-03T07:29:33.276592+00:00,2025-08-12T03:46:17.169139+00:00,39.0,4573265584289,71906863,10076,1724,B0D2BH8N3V,2QZacdmt5qkyd5HMtZZcT5,
177,CM041,ほっけカットジャーキー 70g,単品,1729,True,2025-08-03T07:29:33.472975+00:00,2025-08-12T03:46:17.402755+00:00,41.0,4573265584319,87713100,10079,1729,B0B3N9VQ2V,s6tPyiCHKTsgJYA5pbtJzd,
187,CM051,レトルト サーモンハラス 100g,単品,1800,True,2025-08-03T07:29:34.696393+00:00,2025-08-12T03:46:18.768424+00:00,51.0,4573265581530,142089084,10052,1800,,,
189,CM053,レトルト 鶏ささみ 100g,単品,1802,True,2025-08-03T07:29:34.950467+00:00,2025-08-12T03:46:19.00233+00:00,53.0,4573265581554,142089110,10054,1802,,,
191,CM055,レトルト 馬うまバーグ 100g,単品,1809,True,2025-08-03T07:29:35.211097+00:00,2025-08-12T03:46:19.485217+00:00,55.0,4573265581561,143987477,10055,1809,,,
193,CM057,レトルト カンガルーバーグ 100g,単品,1819,True,2025-08-03T07:29:35.447747+00:00,2025-08-12T03:46:19.742838+00:00,57.0,4573265581585,150887545,10057,1819,,,
370,PC001,スマレジ商品_10107,smaregi,10107,True,2025-08-03T13:02:51.48614+00:00,2025-08-04T23:21:47.33485+00:00,,,,,,,,
195,CM059,かぼちゃフレーク 20g,単品,1840,True,2025-08-03T07:29:35.6638+00:00,2025-08-12T03:46:19.969136+00:00,59.0,4573265584227,167424900,10070,1840,B0B3QVBJRP,JQJzLxj7C95AD8F9PH6txh,
197,CM061,ビーツフレーク 15g,単品,1842,True,2025-08-03T07:29:35.846177+00:00,2025-08-12T03:46:20.202228+00:00,61.0,4573265584241,167424990,10072,1842,B0B3QWQQJQ,sd72Czk6X9obFSgbYkbjiV,
198,CM062,ポテトフレーク 15g,単品,1843,True,2025-08-03T07:29:35.976661+00:00,2025-08-12T03:46:20.318649+00:00,62.0,4573265584258,167425013,10073,1843,B0B3QPGQ88,h9Scnxc6AiF9EJ25wzqCDU,
201,CM065,クマザサ白子パウダー30g（犬）,単品,1846,True,2025-08-03T07:29:36.335603+00:00,2025-08-12T03:46:20.66844+00:00,65.0,4573265581622,167433061,10061,1846,,,
203,CM067,sizuka 濃縮クマザサエキス 10ml,単品,1872,True,2025-08-03T07:29:36.565075+00:00,2025-08-12T03:46:20.885488+00:00,67.0,4573265586085,178475562,10114,1872,,,
502,PC001,楽天商品 1770,,1770,True,2025-08-05T06:04:39.487304+00:00,2025-08-05T06:04:39.487304+00:00,,,,,,,,
205,CM069,エゾ鹿フレーク 20g（猫）,単品,1740,True,2025-08-03T07:29:36.783457+00:00,2025-08-12T03:46:21.151832+00:00,69.0,4573265581417,108734465,10041,1740,B0B3N96WL6,ABxVMqYwSmcNYTirqpFJeN,
206,CM070,サーモンチップ 10g（猫）,単品,1741,True,2025-08-03T07:29:36.889914+00:00,2025-08-12T03:46:21.269207+00:00,70.0,4573265581424,108735070,10042,1741,B0B3N8MRY8,4MgjSMXA3J9Wh4RdEe6vHC,
349,CM102,ちび袋 ラムカットジャーキー 15g,単品,,True,2025-08-03T13:02:48.819637+00:00,2025-08-12T03:46:25.851479+00:00,102.0,4573265581882,167440215,10101,,,,
352,CM105,ちび袋 鮭カットジャーキー 15g,単品,,True,2025-08-03T13:02:49.167582+00:00,2025-08-12T03:46:26.219137+00:00,105.0,4573265581899,167440277,10102,,,,
353,CM106,ちび袋 鮭白子スライスジャーキー 10g,単品,,True,2025-08-03T13:02:49.290835+00:00,2025-08-12T03:46:26.411773+00:00,106.0,4573265581769,167439694,10089,,,,
354,CM107,ちび袋 鶏ささみスライスジャーキー 10g,単品,,True,2025-08-03T13:02:49.425246+00:00,2025-08-12T03:46:26.554631+00:00,107.0,4573265581776,167439711,10090,,,,
355,CM108,ちび袋 鶏むねスライスジャーキー 10g,単品,,True,2025-08-03T13:02:49.517282+00:00,2025-08-12T03:46:26.685081+00:00,108.0,4573265581790,167439727,10092,,,,
356,CM109,ちび袋 鶏砂肝ジャーキー 10g,単品,,True,2025-08-03T13:02:49.629449+00:00,2025-08-12T03:46:26.802113+00:00,109.0,4573265581783,167439743,10091,,,,
357,CM110,ちび袋 馬スライスジャーキー 10g,単品,,True,2025-08-03T13:02:49.732406+00:00,2025-08-12T03:46:26.936197+00:00,110.0,4573265581820,,10095,,,,
359,CM112,エゾ鹿骨,単品,,True,2025-08-03T13:02:49.952103+00:00,2025-08-12T03:46:27.239087+00:00,112.0,1000007,,10009,,,,
360,CM113,エゾ鹿生肉（冷凍）200ｇ,単品,,True,2025-08-03T13:02:50.102412+00:00,2025-08-12T03:46:27.355822+00:00,113.0,1000008,,10011,,,,
361,CM114,牛ラング,単品,,True,2025-08-03T13:02:50.317474+00:00,2025-08-12T03:46:27.472633+00:00,114.0,1000009,,10035,,,,
362,CM115,ハラススティック,単品,,True,2025-08-03T13:02:50.491826+00:00,2025-08-12T03:46:27.587842+00:00,115.0,1000010,,10020,,,,
363,CM116,極上フレークサーモン,単品,,True,2025-08-03T13:02:50.627255+00:00,2025-08-12T03:46:27.736257+00:00,116.0,1000011,,10064,,,,
364,CM117,ミニチュア木箱（エゾ鹿）,単品,,True,2025-08-03T13:02:50.751781+00:00,2025-08-12T03:46:27.867819+00:00,117.0,1000012,,10115,,,,
366,CM119,SIZUKAショルダーバック,単品,,True,2025-08-03T13:02:50.999328+00:00,2025-08-12T03:46:28.147022+00:00,119.0,1000014,,10118,,,,
367,CM120,SIZUKA梨地袋,単品,,True,2025-08-03T13:02:51.13231+00:00,2025-08-12T03:46:28.252585+00:00,120.0,1000015,,10119,,,,
368,CM121,おやつ入 ポチ袋,単品,,True,2025-08-03T13:02:51.244868+00:00,2025-08-12T03:46:28.422614+00:00,121.0,1000016,,10828,,,,
369,CM122,工場限定小袋１点,単品,,True,2025-08-03T13:02:51.369834+00:00,2025-08-12T03:46:28.553581+00:00,122.0,1000017,,10105,,,,
141,CM004,エゾ鹿レバースライス 30g,単品,1763,True,2025-08-03T07:29:29.119763+00:00,2025-08-12T03:46:12.385798+00:00,4.0,4573265581066,152482729,10006,1763,B0B5GKYWDX,AHpmVAfn7Ebvn55Adioyi9,
519,CM142,sizukaオリジナル風呂敷（ふろしき）（モノグラム白）,単品,,True,2025-08-11T20:42:58.982731+00:00,2025-08-12T03:46:31.040664+00:00,142.0,,155980047,,,,,
520,CM143,sizukaトレジャーポット,単品,,True,2025-08-11T20:42:59.081326+00:00,2025-08-12T03:46:31.135855+00:00,143.0,,178475681,,,,,
